"cowID","date_birth","breed"
894,"2006-09-14","46"
895,"2006-09-17","46"
896,"2006-09-24","46"
897,"2006-09-28","46"
898,"2006-10-01","46"
899,"2006-10-29","46"
900,"2006-11-01","46"
901,"2006-11-23","46"
902,"2006-11-29","46"
903,"2006-12-04","46"
904,"2006-12-17","46"
905,"2007-01-30","46"
906,"2007-02-07","46"
907,"2007-08-24","46"
908,"2007-08-25","46"
909,"2007-09-02","46"
910,"2007-09-03","46"
911,"2007-09-03","46"
912,"2007-09-05","46"
913,"2007-09-06","46"
914,"2007-09-09","46"
915,"2007-09-11","46"
916,"2007-09-15","46"
917,"2007-09-23","46"
918,"2007-10-16","46"
919,"2007-11-02","46"
920,"2007-11-10","46"
921,"2007-11-20","46"
922,"2003-10-02","46"
923,"2007-05-31","46"
924,"1993-11-08","84"
925,"1993-10-14","46"
926,"1993-10-02","84"
927,"1995-09-13","46"
928,"1995-11-02","46"
929,"1995-10-19","46"
930,"1996-09-29","46"
931,"1996-10-01","46"
932,"1996-10-01","46"
933,"1996-08-14","46"
934,"1996-10-01","46"
935,"1996-12-28","46"
936,"1997-01-27","46"
937,"1997-03-03","46"
938,"1997-07-14","46"
939,"1997-09-07","46"
940,"1997-09-16","46"
941,"1997-12-28","46"
942,"1998-08-08","46"
943,"1998-08-31","46"
944,"1995-07-28","66"
945,"1998-11-09","66"
946,"1998-11-30","66"
947,"1999-01-04","66"
948,"1999-09-12","66"
949,"1999-09-25","66"
950,"1999-09-28","66"
951,"1999-10-05","66"
952,"1999-10-20","66"
953,"1999-10-23","66"
954,"1999-11-04","66"
955,"1999-12-10","66"
956,"1999-12-13","66"
957,"2000-01-04","66"
958,"2000-03-03","66"
959,"2000-04-18","66"
960,"2000-09-04","66"
961,"2000-09-13","66"
962,"2000-09-14","66"
963,"2000-09-18","66"
964,"2000-09-22","66"
965,"2000-10-02","66"
966,"2000-10-07","66"
967,"2000-10-12","66"
968,"2000-10-14","66"
969,"2001-01-29","66"
970,"2001-09-08","66"
971,"2001-09-10","66"
972,"2001-09-14","66"
973,"2001-09-15","66"
974,"2001-09-17","66"
975,"2001-09-25","66"
976,"2001-10-02","66"
977,"2001-10-17","66"
978,"2001-10-28","66"
979,"2001-11-03","66"
980,"2001-11-26","66"
981,"2001-11-27","66"
982,"2001-12-19","66"
983,"2002-05-20","66"
984,"2002-06-08","39"
985,"2002-08-29","66"
986,"2002-09-30","66"
987,"2002-10-14","66"
988,"2002-10-28","66"
989,"2002-10-31","66"
990,"2002-11-12","66"
991,"2002-12-10","66"
992,"2003-01-28","46"
993,"2003-08-25","66"
994,"2003-08-29","66"
995,"2003-09-15","46"
996,"2003-10-04","66"
997,"2003-10-06","66"
998,"2003-10-23","66"
999,"2003-10-24","46"
1000,"2003-12-20","66"
1001,"2004-02-02","66"
1002,"2004-04-13","66"
1003,"2004-04-15","39"
1004,"2004-05-15","66"
1005,"2004-09-01","66"
1006,"2004-09-02","66"
1007,"2004-09-09","66"
1008,"2004-09-17","66"
1009,"2004-09-30","66"
1010,"2004-10-03","46"
1011,"2004-10-09","66"
1012,"2004-11-11","66"
1013,"2004-12-31","66"
1014,"2005-01-04","66"
1015,"2005-01-20","66"
1016,"2005-08-15","46"
1017,"2005-08-17","66"
1018,"2005-08-29","66"
1019,"2005-08-30","66"
1020,"2005-09-05","66"
1021,"2005-09-05","66"
1022,"2005-09-06","66"
1023,"2005-09-27","66"
1024,"2005-10-23","66"
1025,"2005-12-28","66"
1026,"2006-04-28","46"
1027,"2006-09-02","66"
1028,"2006-09-06","66"
1029,"2006-09-22","66"
1030,"2006-09-29","60"
1031,"2006-10-03","66"
1032,"2006-10-05","66"
1033,"2006-10-06","66"
1034,"2006-10-08","66"
1035,"2006-10-21","66"
1036,"2006-10-23","46"
1037,"2006-10-26","46"
1038,"2006-11-09","66"
1039,"2006-11-18","66"
1040,"2006-11-27","66"
1041,"2007-01-08","66"
1042,"2007-08-20","46"
1043,"2007-09-14","66"
1044,"2007-09-18","66"
1045,"2007-09-20","46"
1046,"2007-11-03","66"
1047,"2007-11-17","46"
1048,"2007-11-27","66"
1049,"2008-01-26","39"
1050,"2007-10-04","66"
1051,"2007-10-07","66"
1052,"2006-01-19","66"
1053,"1999-08-06","46"
1054,"2000-01-29","46"
1055,"2000-02-10","46"
